ticker,commodity,date,open,high,low,close,volume
GC=F,Gold,1/3/2023,1836.199951171875,1839.699951171875,1836.199951171875,1839.699951171875,29
GC=F,Gold,1/4/2023,1845.5999755859375,1859.0999755859375,1845.5999755859375,1852.800048828125,25
GC=F,Gold,1/5/2023,1855.199951171875,1855.199951171875,1834.800048828125,1834.800048828125,24
GC=F,Gold,1/6/2023,1838.4000244140625,1868.199951171875,1835.300048828125,1864.199951171875,26
GC=F,Gold,1/9/2023,1867,1880,1867,1872.699951171875,62
GC=F,Gold,1/10/2023,1877.800048828125,1878.0999755859375,1871.5999755859375,1871.5999755859375,101
GC=F,Gold,1/11/2023,1873.0999755859375,1877.800048828125,1873.0999755859375,1874.5999755859375,1236
GC=F,Gold,1/12/2023,1877.199951171875,1897.4000244140625,1877.199951171875,1895.5,59
GC=F,Gold,1/13/2023,1899,1920.9000244140625,1898.300048828125,1918.4000244140625,512
GC=F,Gold,1/17/2023,1920.0999755859375,1920.0999755859375,1905.199951171875,1907.199951171875,706
GC=F,Gold,1/18/2023,1911.0999755859375,1911.0999755859375,1903.0999755859375,1904.4000244140625,1027
GC=F,Gold,1/19/2023,1922.0999755859375,1931.800048828125,1922.0999755859375,1922.0999755859375,371
GC=F,Gold,1/20/2023,1922.0999755859375,1928.5,1921.4000244140625,1926.4000244140625,1346
GC=F,Gold,1/23/2023,1926.5,1927.0999755859375,1915,1927.0999755859375,218
GC=F,Gold,1/24/2023,1931.800048828125,1936.800048828125,1931.800048828125,1933.9000244140625,201
GC=F,Gold,1/25/2023,1941.199951171875,1941.199951171875,1939.800048828125,1941.199951171875,7
GC=F,Gold,1/26/2023,1936.5999755859375,1937.0999755859375,1927.0999755859375,1929.0999755859375,131
GC=F,Gold,1/27/2023,1928.5999755859375,1928.5999755859375,1928.5999755859375,1928.5999755859375,150902
GC=F,Gold,1/30/2023,1928.300048828125,1933.5999755859375,1920.300048828125,1922.9000244140625,27220
GC=F,Gold,1/31/2023,1923,1930.4000244140625,1900.5999755859375,1929.5,1910
GC=F,Gold,2/1/2023,1927.199951171875,1955,1922,1927.800048828125,2290
